"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2021","3,966.20","3,937.00","3,972.00","3,922.55","1.20K","0.74%"
"12/02/2021","3,937.00","3,966.56","3,968.26","3,925.10","1.31K","-0.75%"
"12/01/2021","3,966.56","3,995.00","3,995.34","3,937.20","1.57K","-0.71%"
"11/30/2021","3,995.00","4,032.03","4,037.03","3,989.80","1.52K","-0.99%"
"11/29/2021","4,035.00","4,007.00","4,039.51","3,996.00","1.09K","0.70%"
"11/26/2021","4,007.00","3,981.00","4,025.00","3,977.02","1.01K","0.65%"
"11/25/2021","3,981.00","3,974.50","3,981.00","3,969.61","0.58K","0.16%"
"11/24/2021","3,974.50","3,950.00","3,992.50","3,950.00","2.05K","0.62%"
"11/23/2021","3,950.00","3,925.75","3,957.00","3,921.83","2.01K","0.62%"
"11/22/2021","3,925.75","3,914.00","3,931.00","3,901.00","1.58K","0.30%"
"11/19/2021","3,914.00","3,932.52","3,947.02","3,913.35","1.13K","-0.53%"
"11/18/2021","3,935.00","3,924.78","3,962.80","3,920.00","1.13K","0.41%"
"11/17/2021","3,919.00","3,895.00","3,936.00","3,891.11","1.51K","0.62%"
"11/16/2021","3,895.00","3,884.80","3,912.00","3,883.83","1.47K","0.26%"
"11/15/2021","3,884.80","3,882.80","3,885.47","3,882.80","0.46K","0.05%"
"11/12/2021","3,882.80","3,879.00","3,900.00","3,873.13","3.02K","0.10%"
"11/11/2021","3,879.00","3,877.50","3,887.00","3,876.18","0.56K","0.04%"
"11/10/2021","3,877.50","3,866.99","3,884.00","3,862.00","1.34K","0.27%"
"11/09/2021","3,866.99","3,877.00","3,890.47","3,864.70","1.38K","-0.26%"
"11/08/2021","3,877.00","3,872.50","3,884.20","3,857.00","1.20K","0.12%"
"11/05/2021","3,872.50","3,872.00","3,898.90","3,863.70","1.42K","0.01%"
"11/04/2021","3,872.00","3,830.10","3,885.00","3,818.75","2.09K","1.09%"
"11/03/2021","3,830.10","3,799.00","3,852.95","3,791.90","2.26K","0.82%"
"11/02/2021","3,799.00","3,760.00","3,799.00","3,756.54","1.57K","1.04%"
"11/01/2021","3,760.00","3,760.00","3,767.33","3,756.54","0.54K","0.00%"
